Date,Venue,Home_Team,Away_Team,Home_Score,Away_Score,Home_Odds,Away_Odds
23/08/14,Spotless Stadium,GWS Giants,Collingwood,67,75,2.36,1.59
23/08/14,Etihad Stadium,Essendon,Gold Coast,108,89,1.16,5.31
23/08/14,Blundstone Arena,North Melbourne,Adelaide,101,94,1.85,1.97
22/08/14,Adelaide Oval,Port Adelaide,Carlton,140,37,1.27,3.78
17/08/14,Domain Stadium,Fremantle,Hawthorn,110,91,1.82,1.99
17/08/14,MCG,Melbourne,GWS Giants,34,98,1.43,2.84
17/08/14,Etihad Stadium,North Melbourne,Western Bulldogs,111,61,1.35,3.22
16/08/14,Adelaide Oval,Adelaide,Richmond,69,79,1.46,2.71
16/08/14,MCG,Collingwood,Brisbane,56,123,1.15,5.4
16/08/14,Etihad Stadium,Essendon,West Coast,77,74,1.56,2.44
16/08/14,Metricon Stadium,Gold Coast,Port Adelaide,47,56,3.16,1.36
16/08/14,SCG,Sydney,St Kilda,127,56,1.01,17.61
15/08/14,Etihad Stadium,Carlton,Geelong,76,82,2.74,1.45
10/08/14,Domain Stadium,West Coast,Collingwood,126,66,1.71,2.15
10/08/14,Etihad Stadium,St Kilda,Western Bulldogs,99,122,3.45,1.32
10/08/14,Gabba,Brisbane,Adelaide,63,168,2.89,1.43
09/08/14,Simonds Stadium,Geelong,Fremantle,81,79,1.46,2.75
09/08/14,Adelaide Oval,Port Adelaide,Sydney,58,84,3.05,1.38
09/08/14,MCG,Hawthorn,Melbourne,115,65,1.03,14.03
09/08/14,Etihad Stadium,Carlton,Gold Coast,97,58,1.51,2.6
09/08/14,StarTrack Oval Canberra,GWS Giants,North Melbourne,51,126,5.51,1.15
08/08/14,MCG,Richmond,Essendon,95,77,2.25,1.65
03/08/14,MCG,Collingwood,Port Adelaide,76,70,2.19,1.67
03/08/14,Aurora Stadium,Hawthorn,Western Bulldogs,107,45,1.13,6.15
03/08/14,Etihad Stadium,Melbourne,Brisbane,51,74,1.72,2.13
02/08/14,Metricon Stadium,Gold Coast,St Kilda,117,64,1.42,2.87
02/08/14,Etihad Stadium,North Melbourne,Geelong,79,111,2.23,1.65
02/08/14,MCG,Richmond,GWS Giants,89,62,1.09,7.38
02/08/14,Adelaide Oval,Adelaide,West Coast,105,136,1.18,4.93
01/08/14,SCG,Sydney,Essendon,79,57,1.27,3.8
31/07/14,Domain Stadium,Fremantle,Carlton,83,78,1.13,6.14
27/07/14,MCG,Collingwood,Adelaide,82,98,1.84,1.97
26/07/14,MCG,Hawthorn,Sydney,104,94,1.85,1.94
26/07/14,Gabba,Brisbane,Gold Coast,110,56,2.47,1.54
25/07/14,Domain Stadium,West Coast,Richmond,42,59,1.64,2.23
20/07/14,Etihad Stadium,Western Bulldogs,Essendon,94,101,3.03,1.38
20/07/14,Adelaide Oval,Port Adelaide,Melbourne,72,69,1.06,8.81
19/07/14,Spotless Stadium,GWS Giants,Geelong,87,94,7.67,1.08
19/07/14,Etihad Stadium,St Kilda,Fremantle,118,60,11.96,1.03
18/07/14,Etihad Stadium,Carlton,North Melbourne,109,86,3.97,1.24
13/07/14,Domain Stadium,Fremantle,GWS Giants,136,60,1.01,17.1
13/07/14,MCG,Essendon,Collingwood,103,39,2.67,1.46
13/07/14,Etihad Stadium,Richmond,Port Adelaide,126,106,2.47,1.53
12/07/14,Gabba,Brisbane,West Coast,64,76,2.79,1.43
12/07/14,SCG,Sydney,Carlton,122,51,1.13,5.9
12/07/14,Cazalyês Stadium,Western Bulldogs,Gold Coast,94,66,2.45,1.54
12/07/14,Blundstone Arena,North Melbourne,St Kilda,92,33,1.04,11.65
12/07/14,MCG,Melbourne,Geelong,36,102,6.13,1.12
11/07/14,Adelaide Oval,Adelaide,Hawthorn,92,104,2.13,1.7
06/07/14,Simonds Stadium,Geelong,Western Bulldogs,69,56,1.13,5.72
06/07/14,Domain Stadium,West Coast,Sydney,51,79,2.99,1.36
06/07/14,Etihad Stadium,Carlton,St Kilda,151,66,1.16,5.06
05/07/14,TIO Stadium,Melbourne,Fremantle,34,97,5.4,1.15
05/07/14,Adelaide Oval,Port Adelaide,Essendon,60,62,1.22,4.29
05/07/14,Metricon Stadium,Gold Coast,Collingwood,80,75,1.91,1.88
05/07/14,Spotless Stadium,GWS Giants,Adelaide,72,140,3.9,1.25
05/07/14,MCG,Richmond,Brisbane,79,54,1.1,6.57
04/07/14,Etihad Stadium,North Melbourne,Hawthorn,108,88,3.89,1.25
29/06/14,MCG,Collingwood,Carlton,91,76,1.28,3.71
