Date,Venue,Home_Team,Away_Team,Home_Score,Away_Score,Home_Odds,Away_Odds
28/06/13,SCG,Sydney,Carlton,65,43,1.4,2.93
27/06/13,Domain Stadium,West Coast,Essendon,91,98,2.08,1.73
23/06/13,Gabba,Brisbane,Geelong,103,98,5.58,1.14
23/06/13,Domain Stadium,Fremantle,North Melbourne,67,29,1.32,3.35
22/06/13,Etihad Stadium,Western Bulldogs,Richmond,61,121,6.65,1.11
22/06/13,MCG,St Kilda,Melbourne,104,69,1.11,6.47
22/06/13,AAMI Stadium,Port Adelaide,Sydney,72,54,7.12,1.1
21/06/13,Etihad Stadium,Hawthorn,West Coast,123,103,1.16,5.17
16/06/13,Etihad Stadium,Collingwood,Western Bulldogs,99,65,1.11,6.41
16/06/13,Spotless Stadium,GWS Giants,Port Adelaide,50,125,4.26,1.22
15/06/13,Etihad Stadium,Essendon,Gold Coast,115,72,1.16,5.29
15/06/13,Domain Stadium,Fremantle,Brisbane,86,46,1.06,9.37
15/06/13,MCG,Richmond,Adelaide,110,72,1.36,3.14
14/06/13,Etihad Stadium,Carlton,Hawthorn,87,102,4.07,1.23
10/06/13,MCG,Melbourne,Collingwood,39,122,15.9,1.02
09/06/13,Etihad Stadium,St Kilda,West Coast,80,84,2.86,1.42
08/06/13,Metricon Stadium,Gold Coast,North Melbourne,66,51,3.4,1.31
08/06/13,AAMI Stadium,Adelaide,Sydney,50,127,2.47,1.53
08/06/13,Spotless Stadium,GWS Giants,Geelong,98,157,17.9,1.01
07/06/13,MCG,Essendon,Carlton,77,72,1.8,1.98
03/06/13,Domain Stadium,West Coast,Richmond,62,103,1.28,3.63
02/06/13,Etihad Stadium,North Melbourne,St Kilda,133,65,1.22,4.29
02/06/13,MCG,Melbourne,Hawthorn,48,143,21.38,1.01
01/06/13,Simonds Stadium,Geelong,Gold Coast,123,71,1.03,13.05
01/06/13,TIO Stadium,Western Bulldogs,Port Adelaide,67,58,2.57,1.5
01/06/13,SCG,Sydney,Essendon,115,71,1.51,2.52
01/06/13,AAMI Stadium,Adelaide,Fremantle,59,66,1.81,1.98
01/06/13,Etihad Stadium,Carlton,GWS Giants,148,54,1.01,18.52
31/05/13,Gabba,Brisbane,Collingwood,51,100,4.5,1.2
26/05/13,Domain Stadium,Fremantle,Melbourne,130,40,1.01,16.25
26/05/13,Etihad Stadium,North Melbourne,Adelaide,124,125,1.44,2.74
26/05/13,MCG,Hawthorn,Gold Coast,118,92,1.01,16.33
25/05/13,MCG,Richmond,Essendon,62,91,2.04,1.75
25/05/13,Gabba,Brisbane,Carlton,85,98,2.73,1.45
25/05/13,Etihad Stadium,St Kilda,Western Bulldogs,101,110,1.18,4.71
25/05/13,Spotless Stadium,GWS Giants,West Coast,55,155,16.03,1.01
25/05/13,AAMI Stadium,Port Adelaide,Geelong,68,116,4.71,1.18
24/05/13,MCG,Collingwood,Sydney,55,102,1.61,2.28
19/05/13,AAMI Stadium,Adelaide,St Kilda,87,47,1.33,3.32
19/05/13,MCG,Richmond,Melbourne,106,72,1.02,14.7
19/05/13,Etihad Stadium,Carlton,Port Adelaide,109,91,1.37,3.04
18/05/13,MCG,Collingwood,Geelong,102,96,3.29,1.33
18/05/13,SCG,Sydney,Fremantle,70,70,1.35,3.15
18/05/13,Metricon Stadium,Gold Coast,Western Bulldogs,93,61,1.62,2.26
18/05/13,Aurora Stadium,Hawthorn,GWS Giants,140,57,1.01,29.63
18/05/13,Etihad Stadium,Essendon,Brisbane,86,96,1.04,10.82
17/05/13,Domain Stadium,West Coast,North Melbourne,90,88,1.37,3.06
13/05/13,Etihad Stadium,St Kilda,Carlton,77,68,3.81,1.26
12/05/13,MCG,Melbourne,Gold Coast,54,114,2.1,1.72
12/05/13,Spotless Stadium,GWS Giants,Adelaide,52,187,9.51,1.05
11/05/13,Domain Stadium,Fremantle,Collingwood,100,73,2.43,1.55
11/05/13,MCG,Hawthorn,Sydney,119,82,1.48,2.63
11/05/13,Etihad Stadium,Western Bulldogs,North Melbourne,97,151,7.64,1.08
11/05/13,Gabba,Brisbane,West Coast,82,108,4.34,1.21
11/05/13,AAMI Stadium,Port Adelaide,Richmond,73,114,1.55,2.43
10/05/13,Etihad Stadium,Geelong,Essendon,113,85,1.65,2.21
05/05/13,Domain Stadium,West Coast,Western Bulldogs,137,67,1.03,13.06
05/05/13,MCG,Carlton,Melbourne,121,60,1.02,15.5
05/05/13,SCG,Sydney,Brisbane,115,55,1.07,8.53
04/05/13,Metricon Stadium,Gold Coast,Fremantle,54,99,2.83,1.42
04/05/13,MCG,Richmond,Geelong,87,131,2.94,1.39
04/05/13,AAMI Stadium,Adelaide,Hawthorn,78,89,4.46,1.2
04/05/13,Blundstone Arena,North Melbourne,Port Adelaide,93,83,1.38,2.98
04/05/13,Etihad Stadium,Essendon,GWS Giants,120,81,1.01,19.27
03/05/13,Etihad Stadium,Collingwood,St Kilda,103,77,1.22,4.17
28/04/13,MCG,Hawthorn,North Melbourne,99,96,1.18,4.89
28/04/13,Gabba,Brisbane,Melbourne,122,94,1.17,4.92
27/04/13,AAMI Stadium,Port Adelaide,West Coast,84,79,1.97,1.82
27/04/13,Etihad Stadium,Western Bulldogs,Geelong,86,107,13.89,1.02
27/04/13,MCG,Carlton,Adelaide,115,83,1.44,2.78
27/04/13,StarTrack Oval Canberra,GWS Giants,Gold Coast,104,148,3.19,1.35
26/04/13,Domain Stadium,Fremantle,Richmond,81,80,1.45,2.76
25/04/13,Westpac Stadium,St Kilda,Sydney,63,79,4.76,1.19
25/04/13,MCG,Essendon,Collingwood,121,75,2.21,1.65
21/04/13,Etihad Stadium,North Melbourne,Brisbane,125,62,1.27,3.78
21/04/13,AAMI Stadium,Adelaide,Western Bulldogs,80,28,1.11,6.46
21/04/13,MCG,Melbourne,GWS Giants,144,103,1.46,2.69
20/04/13,Metricon Stadium,Gold Coast,Port Adelaide,66,104,2.62,1.49
20/04/13,Domain Stadium,West Coast,Carlton,65,89,1.39,2.95
20/04/13,Etihad Stadium,St Kilda,Essendon,91,128,2.49,1.53
20/04/13,MCG,Richmond,Collingwood,79,113,1.86,1.92
20/04/13,Aurora Stadium,Hawthorn,Fremantle,118,76,1.17,5.04
19/04/13,SCG,Sydney,Geelong,103,124,1.6,2.33
14/04/13,AAMI Stadium,Port Adelaide,Adelaide,118,109,2.7,1.46
14/04/13,MCG,Collingwood,Hawthorn,90,145,2.35,1.58
14/04/13,Etihad Stadium,Richmond,Western Bulldogs,135,68,1.25,3.9
13/04/13,Etihad Stadium,Geelong,Carlton,119,103,1.51,2.53
13/04/13,Metricon Stadium,Gold Coast,Brisbane,92,94,2.66,1.47
13/04/13,StarTrack Oval Canberra,GWS Giants,St Kilda,68,140,4.61,1.2
13/04/13,MCG,Melbourne,West Coast,83,177,11.52,1.03
13/04/13,Blundstone Arena,North Melbourne,Sydney,92,131,2.11,1.72
12/04/13,Domain Stadium,Fremantle,Essendon,68,72,1.43,2.84
07/04/13,Domain Stadium,West Coast,Hawthorn,98,148,1.96,1.82
07/04/13,MCG,Collingwood,Carlton,117,100,1.47,2.68
07/04/13,Etihad Stadium,Geelong,North Melbourne,112,108,1.43,2.79
06/04/13,MCG,Essendon,Melbourne,184,36,1.08,7.93
06/04/13,AAMI Stadium,Port Adelaide,GWS Giants,134,78,1.14,5.89
06/04/13,Gabba,Brisbane,Adelaide,77,96,1.99,1.81
06/04/13,Etihad Stadium,Western Bulldogs,Fremantle,78,106,3.26,1.33
06/04/13,SCG,Sydney,Gold Coast,114,73,1.09,7.51
05/04/13,MCG,St Kilda,Richmond,82,99,2.95,1.4
01/04/13,MCG,Hawthorn,Geelong,86,93,1.6,2.32
31/03/13,Etihad Stadium,North Melbourne,Collingwood,87,103,2.38,1.58
31/03/13,MCG,Melbourne,Port Adelaide,54,133,1.83,1.94
30/03/13,Metricon Stadium,Gold Coast,St Kilda,90,77,3.37,1.32
30/03/13,ANZ Stadium,GWS Giants,Sydney,76,106,11.62,1.04
30/03/13,Etihad Stadium,Western Bulldogs,Brisbane,127,59,3.83,1.27
28/03/13,MCG,Carlton,Richmond,101,106,1.86,1.91
23/03/13,Domain Stadium,Fremantle,West Coast,108,80,1.76,2.02
22/03/13,AAMI Stadium,Adelaide,Essendon,82,117,1.46,2.68
29/09/12,MCG,Hawthorn,Sydney,81,91,1.52,2.53
22/09/12,MCG,Hawthorn,Adelaide,97,92,1.13,5.85
21/09/12,ANZ Stadium,Sydney,Collingwood,96,70,1.55,2.43
15/09/12,MCG,Collingwood,West Coast,73,60,1.86,1.91
14/09/12,AAMI Stadium,Adelaide,Fremantle,81,71,1.6,2.31
09/09/12,Domain Stadium,West Coast,North Melbourne,162,66,1.2,4.53
08/09/12,MCG,Geelong,Fremantle,80,96,1.28,3.64
08/09/12,AAMI Stadium,Adelaide,Sydney,42,71,1.63,2.24
07/09/12,MCG,Hawthorn,Collingwood,135,97,1.32,3.35
02/09/12,Gabba,Brisbane,Western Bulldogs,128,61,1.2,4.56
02/09/12,MCG,Richmond,Port Adelaide,106,106,1.1,6.84
02/09/12,Etihad Stadium,Carlton,St Kilda,91,106,1.97,1.8
01/09/12,MCG,Essendon,Collingwood,72,104,5.25,1.15
01/09/12,Domain Stadium,Fremantle,Melbourne,101,40,1.03,11.75
01/09/12,Spotless Stadium,GWS Giants,North Melbourne,77,105,16,1.01
01/09/12,AAMI Stadium,Adelaide,Gold Coast,153,62,1.01,16.82
01/09/12,Simonds Stadium,Geelong,Sydney,112,78,1.65,2.2
31/08/12,MCG,Hawthorn,West Coast,95,70,1.25,3.9
26/08/12,MCG,Melbourne,Adelaide,81,150,6.16,1.12
26/08/12,Etihad Stadium,North Melbourne,Fremantle,79,132,1.27,3.67
26/08/12,Simonds Stadium,Geelong,Western Bulldogs,107,73,1.02,15.55
25/08/12,Metricon Stadium,Gold Coast,Carlton,98,86,13.6,1.02
25/08/12,Domain Stadium,West Coast,Collingwood,107,58,1.68,2.16
25/08/12,SCG,Sydney,Hawthorn,95,102,1.97,1.79
25/08/12,AAMI Stadium,Port Adelaide,Brisbane,93,104,2.22,1.64
25/08/12,Etihad Stadium,St Kilda,GWS Giants,163,35,1.01,20.4
24/08/12,MCG,Richmond,Essendon,102,57,1.59,2.3
19/08/12,MCG,Hawthorn,Gold Coast,129,65,1.01,23.58
19/08/12,Etihad Stadium,Western Bulldogs,Sydney,85,167,8.66,1.06
19/08/12,AAMI Stadium,Port Adelaide,West Coast,50,98,5.64,1.13
18/08/12,Gabba,Brisbane,Adelaide,95,85,4.29,1.21
18/08/12,Etihad Stadium,Collingwood,North Melbourne,61,91,1.31,3.42
18/08/12,Domain Stadium,Fremantle,Richmond,94,72,1.39,2.95
18/08/12,StarTrack Oval Canberra,GWS Giants,Melbourne,59,84,4.55,1.19
18/08/12,MCG,Essendon,Carlton,60,156,2.05,1.74
17/08/12,Etihad Stadium,Geelong,St Kilda,123,81,1.31,3.38
12/08/12,Etihad Stadium,Essendon,North Melbourne,76,100,2.19,1.65
12/08/12,MCG,Richmond,Western Bulldogs,150,80,1.14,5.62
12/08/12,Aurora Stadium,Hawthorn,Port Adelaide,159,87,1.01,19.5
11/08/12,Etihad Stadium,Carlton,Brisbane,113,77,1.19,4.68
11/08/12,ANZ Stadium,Sydney,Collingwood,70,78,1.59,2.34
11/08/12,Metricon Stadium,Gold Coast,GWS Giants,109,79,1.36,3.08
11/08/12,AAMI Stadium,Adelaide,Fremantle,119,91,1.4,2.91
11/08/12,MCG,St Kilda,Melbourne,107,82,1.05,9.67
10/08/12,Domain Stadium,West Coast,Geelong,102,97,1.68,2.15
05/08/12,AAMI Stadium,Adelaide,Essendon,104,100,1.15,5.45
05/08/12,Etihad Stadium,Carlton,Sydney,71,93,2.97,1.39
05/08/12,MCG,Melbourne,Gold Coast,108,66,1.39,3.02
04/08/12,Gabba,Brisbane,Richmond,84,132,2.21,1.64
04/08/12,MCG,Collingwood,St Kilda,91,85,1.4,2.94
04/08/12,Domain Stadium,Fremantle,West Coast,113,48,2.59,1.49
04/08/12,Spotless Stadium,GWS Giants,Port Adelaide,107,73,6.7,1.1
04/08/12,Etihad Stadium,Western Bulldogs,North Melbourne,61,115,7.84,1.08
03/08/12,MCG,Hawthorn,Geelong,116,118,1.29,3.61
29/07/12,Domain Stadium,West Coast,Brisbane,175,77,1.14,5.66
29/07/12,Etihad Stadium,St Kilda,Western Bulldogs,118,42,1.14,5.54
29/07/12,AAMI Stadium,Port Adelaide,Fremantle,48,75,2.45,1.54
28/07/12,MCG,Carlton,Richmond,95,91,2.34,1.58
28/07/12,Metricon Stadium,Gold Coast,Sydney,54,126,9.98,1.05
28/07/12,Spotless Stadium,GWS Giants,Collingwood,54,174,22.17,1.01
28/07/12,Etihad Stadium,North Melbourne,Melbourne,127,73,1.09,7.67
28/07/12,Simonds Stadium,Geelong,Adelaide,102,75,1.61,2.27
27/07/12,Etihad Stadium,Essendon,Hawthorn,86,180,5.2,1.16
22/07/12,Domain Stadium,Fremantle,GWS Giants,132,37,1.01,21.83
22/07/12,MCG,Richmond,North Melbourne,99,103,2.1,1.73
22/07/12,SCG,Sydney,St Kilda,105,76,1.36,3.11
21/07/12,TIO Stadium,Melbourne,Port Adelaide,56,84,2.24,1.63
21/07/12,Etihad Stadium,Western Bulldogs,Carlton,84,102,2.35,1.58
21/07/12,Metricon Stadium,Gold Coast,Brisbane,48,59,3.95,1.25
21/07/12,AAMI Stadium,Adelaide,West Coast,124,75,1.43,2.78
21/07/12,MCG,Collingwood,Hawthorn,91,138,1.9,1.88
20/07/12,Etihad Stadium,Geelong,Essendon,134,67,2.02,1.76
15/07/12,Domain Stadium,West Coast,Sydney,69,121,1.69,2.13
15/07/12,Etihad Stadium,Western Bulldogs,Hawthorn,44,116,10.07,1.04
15/07/12,Spotless Stadium,GWS Giants,Adelaide,59,178,16.46,1.01
14/07/12,Gabba,Brisbane,St Kilda,92,105,2.53,1.51
14/07/12,MCG,Geelong,Collingwood,79,110,2.65,1.48
14/07/12,Cazalyês Stadium,Richmond,Gold Coast,88,90,1.16,5.18
14/07/12,AAMI Stadium,Port Adelaide,Essendon,77,127,2.7,1.45
14/07/12,Etihad Stadium,Melbourne,Fremantle,83,117,3.16,1.35
13/07/12,Etihad Stadium,North Melbourne,Carlton,149,96,2.12,1.7
08/07/12,Domain Stadium,Fremantle,Western Bulldogs,95,57,1.19,4.73
08/07/12,Metricon Stadium,Gold Coast,Geelong,96,110,12.68,1.03
08/07/12,MCG,Hawthorn,GWS Giants,193,31,1,21
07/07/12,AAMI Stadium,Port Adelaide,Adelaide,58,116,3.73,1.27
07/07/12,Etihad Stadium,St Kilda,Essendon,133,62,2.93,1.4
07/07/12,SCG,Sydney,Brisbane,110,63,1.17,5.05
07/07/12,MCG,Melbourne,Richmond,78,101,4.72,1.18
07/07/12,Blundstone Arena,North Melbourne,West Coast,84,86,2.67,1.46
06/07/12,MCG,Collingwood,Carlton,62,85,1.2,4.46
01/07/12,Etihad Stadium,St Kilda,North Melbourne,103,136,1.38,2.97
01/07/12,Gabba,Brisbane,Melbourne,122,61,1.18,4.91
01/07/12,Simonds Stadium,Geelong,Port Adelaide,99,61,1.04,11.25
30/06/12,Etihad Stadium,Essendon,Western Bulldogs,140,56,1.19,4.61
30/06/12,ANZ Stadium,Sydney,GWS Giants,132,38,1.01,19.94
30/06/12,Domain Stadium,West Coast,Gold Coast,166,40,1.01,19.42
30/06/12,AAMI Stadium,Adelaide,Richmond,106,87,1.4,2.88
30/06/12,MCG,Collingwood,Fremantle,107,78,1.1,7.11
29/06/12,MCG,Carlton,Hawthorn,70,120,3.43,1.3
24/06/12,Etihad Stadium,North Melbourne,Adelaide,121,89,3.12,1.35
24/06/12,MCG,Melbourne,GWS Giants,135,57,1.28,3.67
23/06/12,Domain Stadium,Fremantle,Essendon,89,113,2.2,1.65
23/06/12,MCG,Collingwood,West Coast,85,82,1.4,2.91
23/06/12,Etihad Stadium,Western Bulldogs,Brisbane,56,114,1.36,3.09
22/06/12,SCG,Sydney,Geelong,80,74,1.6,2.3
17/06/12,Etihad Stadium,Western Bulldogs,Port Adelaide,95,57,1.45,2.77
17/06/12,MCG,Hawthorn,Brisbane,135,70,1.06,8.94
16/06/12,Metricon Stadium,Gold Coast,North Melbourne,80,87,5.21,1.16
16/06/12,Spotless Stadium,GWS Giants,Richmond,74,86,10.93,1.04
15/06/12,AAMI Stadium,Adelaide,St Kilda,115,111,1.47,2.67
14/06/12,Domain Stadium,West Coast,Carlton,79,69,1.28,3.66
11/06/12,MCG,Melbourne,Collingwood,87,129,8.9,1.06
10/06/12,AAMI Stadium,Port Adelaide,Hawthorn,62,108,3.95,1.25
09/06/12,Etihad Stadium,Essendon,Sydney,82,86,1.5,2.55
09/06/12,Metricon Stadium,Gold Coast,St Kilda,49,144,7.41,1.09
09/06/12,MCG,Richmond,Fremantle,66,78,1.2,4.43
08/06/12,Etihad Stadium,Carlton,Geelong,85,97,2.74,1.44
03/06/12,MCG,Collingwood,Gold Coast,149,52,1.01,16.31
03/06/12,SCG,Sydney,Western Bulldogs,132,40,1.28,3.59
03/06/12,Gabba,Brisbane,West Coast,102,100,4.67,1.19
02/06/12,MCG,Essendon,Melbourne,52,58,1.04,10.88
02/06/12,AAMI Stadium,Port Adelaide,Carlton,99,45,3.11,1.36
02/06/12,Domain Stadium,Fremantle,Adelaide,82,111,2.37,1.57
02/06/12,Aurora Stadium,Hawthorn,North Melbourne,174,59,1.26,3.81
02/06/12,Simonds Stadium,Geelong,GWS Giants,126,61,1.01,19.57
01/06/12,Etihad Stadium,St Kilda,Richmond,113,121,1.85,1.91
27/05/12,Domain Stadium,West Coast,Fremantle,84,36,1.35,3.12
27/05/12,MCG,Carlton,Melbourne,107,49,1.04,10.33
27/05/12,Etihad Stadium,North Melbourne,Brisbane,112,96,1.24,4.04
26/05/12,AAMI Stadium,Adelaide,Collingwood,49,75,1.46,2.68
26/05/12,Spotless Stadium,GWS Giants,Essendon,53,119,17.14,1.01
26/05/12,Etihad Stadium,St Kilda,Sydney,111,83,1.89,1.86
26/05/12,Metricon Stadium,Gold Coast,Port Adelaide,70,118,2.55,1.5
26/05/12,MCG,Richmond,Hawthorn,137,75,3.61,1.28
25/05/12,Etihad Stadium,Western Bulldogs,Geelong,75,95,4.78,1.18
20/05/12,Domain Stadium,West Coast,St Kilda,121,91,1.38,2.99
20/05/12,Etihad Stadium,Carlton,Adelaide,55,124,1.41,2.85
20/05/12,Gabba,Brisbane,GWS Giants,132,40,1.15,5.54
19/05/12,MCG,Essendon,Richmond,128,109,1.49,2.59
19/05/12,TIO Stadium,Western Bulldogs,Gold Coast,72,34,1.14,5.48
19/05/12,SCG,Sydney,Melbourne,138,37,1.09,7.4
19/05/12,Aurora Stadium,Hawthorn,Fremantle,119,63,1.19,4.61
19/05/12,AAMI Stadium,Port Adelaide,North Melbourne,95,93,2.64,1.47
18/05/12,MCG,Collingwood,Geelong,96,84,1.61,2.29
14/05/12,Etihad Stadium,St Kilda,Carlton,122,98,4.03,1.24
13/05/12,Domain Stadium,Fremantle,Port Adelaide,87,47,1.14,5.69
13/05/12,Etihad Stadium,North Melbourne,Western Bulldogs,83,101,1.32,3.39
12/05/12,Gabba,Brisbane,Collingwood,58,116,4.9,1.17
12/05/12,Etihad Stadium,Essendon,West Coast,113,52,1.57,2.37
12/05/12,MCG,Richmond,Sydney,91,62,1.82,1.94
12/05/12,StarTrack Oval Canberra,GWS Giants,Gold Coast,94,67,3.95,1.25
12/05/12,AAMI Stadium,Adelaide,Geelong,122,72,2.04,1.76
11/05/12,MCG,Melbourne,Hawthorn,49,115,11.5,1.03
06/05/12,Domain Stadium,West Coast,North Melbourne,120,95,1.28,3.61
06/05/12,AAMI Stadium,Port Adelaide,Richmond,54,91,2.19,1.66
06/05/12,Etihad Stadium,Carlton,GWS Giants,110,43,1.01,23.67
05/05/12,SCG,St Kilda,Hawthorn,88,123,3.6,1.28
05/05/12,MCG,Sydney,Adelaide,94,99,1.26,3.82
05/05/12,Metricon Stadium,Gold Coast,Fremantle,87,94,6.45,1.11
05/05/12,Simonds Stadium,Geelong,Melbourne,119,76,1.03,11.68
05/05/12,Etihad Stadium,Essendon,Brisbane,129,62,1.15,5.48
04/05/12,Etihad Stadium,Western Bulldogs,Collingwood,77,98,6.83,1.1
29/04/12,AAMI Stadium,Adelaide,Port Adelaide,110,91,1.51,2.53
29/04/12,Etihad Stadium,Richmond,West Coast,97,107,3.13,1.35
29/04/12,Aurora Stadium,Hawthorn,Sydney,69,106,1.31,3.38
28/04/12,Gabba,Brisbane,Geelong,41,79,3.61,1.28
28/04/12,MCG,Melbourne,St Kilda,66,84,6.64,1.1
28/04/12,Etihad Stadium,North Melbourne,Gold Coast,127,88,1.01,15.53
28/04/12,StarTrack Oval Canberra,GWS Giants,Western Bulldogs,62,104,11.93,1.03
27/04/12,Domain Stadium,Fremantle,Carlton,57,65,2.18,1.66
25/04/12,MCG,Collingwood,Essendon,80,79,1.68,2.15
22/04/12,MCG,Melbourne,Western Bulldogs,67,88,2.99,1.37
22/04/12,SCG,Sydney,North Melbourne,113,77,1.88,1.86
22/04/12,Simonds Stadium,Geelong,Richmond,75,65,1.15,5.19
21/04/12,Gabba,Brisbane,Gold Coast,111,46,1.36,3.02
21/04/12,Domain Stadium,West Coast,Hawthorn,51,46,1.6,2.29
21/04/12,AAMI Stadium,Adelaide,GWS Giants,96,50,1.01,21.67
21/04/12,Etihad Stadium,Collingwood,Port Adelaide,97,73,1.22,4.1
21/04/12,MCG,Carlton,Essendon,79,109,1.11,6.62
20/04/12,Etihad Stadium,St Kilda,Fremantle,79,92,1.4,2.87
15/04/12,Etihad Stadium,North Melbourne,Geelong,131,114,4.09,1.22
15/04/12,MCG,Hawthorn,Adelaide,140,84,1.17,4.9
15/04/12,Blacktown Park,GWS Giants,West Coast,69,150,23.86,1.01
14/04/12,Metricon Stadium,Gold Coast,Essendon,88,105,9.66,1.05
14/04/12,Etihad Stadium,Western Bulldogs,St Kilda,40,103,2.49,1.52
14/04/12,Domain Stadium,Fremantle,Brisbane,64,35,1.09,7.32
14/04/12,AAMI Stadium,Port Adelaide,Sydney,83,105,2.58,1.48
14/04/12,MCG,Richmond,Melbourne,133,74,1.21,4.39
13/04/12,MCG,Carlton,Collingwood,122,62,1.83,1.93
09/04/12,MCG,Geelong,Hawthorn,92,90,2.48,1.53
08/04/12,Etihad Stadium,St Kilda,Gold Coast,139,47,1.05,9.56
08/04/12,Blundstone Arena,North Melbourne,GWS Giants,183,54,1.01,15.94
07/04/12,AAMI Stadium,Adelaide,Western Bulldogs,82,64,1.21,4.26
07/04/12,MCG,Collingwood,Richmond,85,64,1.14,5.49
07/04/12,Domain Stadium,West Coast,Melbourne,166,58,1.05,10.34
07/04/12,SCG,Sydney,Fremantle,94,81,1.67,2.15
07/04/12,Etihad Stadium,Essendon,Port Adelaide,111,86,1.23,4.05
05/04/12,Gabba,Brisbane,Carlton,63,154,3.46,1.3
01/04/12,AAMI Stadium,Port Adelaide,St Kilda,89,85,2.86,1.41
01/04/12,Etihad Stadium,Western Bulldogs,West Coast,87,136,2.25,1.6
31/03/12,Etihad Stadium,North Melbourne,Essendon,102,104,2.14,1.66
31/03/12,Domain Stadium,Fremantle,Geelong,105,101,1.96,1.79
31/03/12,Metricon Stadium,Gold Coast,Adelaide,68,137,4.39,1.22
31/03/12,MCG,Melbourne,Brisbane,78,119,1.42,2.81
30/03/12,MCG,Hawthorn,Collingwood,137,115,1.65,2.19
29/03/12,MCG,Richmond,Carlton,81,125,2.48,1.52
24/03/12,ANZ Stadium,GWS Giants,Sydney,37,100,13.78,1.02
01/10/11,MCG,Collingwood,Geelong,81,119,1.96,1.8
24/09/11,MCG,Geelong,West Coast,117,69,1.2,4.54
23/09/11,MCG,Collingwood,Hawthorn,68,65,1.27,3.65
17/09/11,Domain Stadium,West Coast,Carlton,101,98,1.4,2.9
16/09/11,MCG,Hawthorn,Sydney,122,86,1.42,2.81
11/09/11,MCG,Carlton,Essendon,149,87,1.39,2.94
10/09/11,Etihad Stadium,St Kilda,Sydney,57,82,1.4,2.9
10/09/11,MCG,Collingwood,West Coast,82,62,1.19,4.59
09/09/11,MCG,Geelong,Hawthorn,98,67,1.63,2.22
04/09/11,Etihad Stadium,Richmond,North Melbourne,91,104,2.2,1.64
04/09/11,Adelaide Oval,Port Adelaide,Melbourne,112,104,2.24,1.63
03/09/11,MCG,Carlton,St Kilda,66,86,1.71,2.08
03/09/11,Domain Stadium,West Coast,Adelaide,145,50,1.14,5.41
03/09/11,SCG,Sydney,Brisbane,119,67,1.13,5.68
03/09/11,Etihad Stadium,Western Bulldogs,Fremantle,107,61,1.11,6.39
03/09/11,Metricon Stadium,Gold Coast,Hawthorn,97,106,5.25,1.16
02/09/11,MCG,Collingwood,Geelong,53,149,1.35,3.14
28/08/11,Etihad Stadium,Essendon,Port Adelaide,120,113,1.03,12.5
28/08/11,MCG,Melbourne,Gold Coast,112,82,1.1,6.78
28/08/11,AAMI Stadium,Adelaide,Richmond,99,121,1.35,3.15
27/08/11,Etihad Stadium,St Kilda,North Melbourne,135,70,1.71,2.08
27/08/11,Gabba,Brisbane,West Coast,81,89,3.44,1.3
27/08/11,Simonds Stadium,Geelong,Sydney,86,99,1.07,8.35
27/08/11,MCG,Hawthorn,Western Bulldogs,113,67,1.1,6.79
26/08/11,Domain Stadium,Fremantle,Collingwood,52,132,13.75,1.02
21/08/11,MCG,Melbourne,Richmond,110,117,2.06,1.72
21/08/11,AAMI Stadium,Port Adelaide,Western Bulldogs,97,157,4.79,1.17
21/08/11,ANZ Stadium,Sydney,St Kilda,83,68,2.24,1.62
20/08/11,MCG,Collingwood,Brisbane,102,84,1.01,16.12
20/08/11,Etihad Stadium,North Melbourne,Fremantle,143,45,1.34,3.18
20/08/11,Metricon Stadium,Gold Coast,Adelaide,64,125,4.66,1.19
20/08/11,Domain Stadium,West Coast,Essendon,134,77,1.24,3.97
19/08/11,Etihad Stadium,Carlton,Hawthorn,66,78,2.39,1.56
14/08/11,AAMI Stadium,Adelaide,Geelong,85,96,8.8,1.06
14/08/11,MCG,Richmond,Sydney,99,56,3.42,1.3
14/08/11,Etihad Stadium,Melbourne,West Coast,62,110,4.45,1.2
13/08/11,Gabba,Brisbane,Gold Coast,123,61,1.36,3.08
13/08/11,Etihad Stadium,Western Bulldogs,Essendon,101,150,2.23,1.63
13/08/11,MCG,Hawthorn,Port Adelaide,197,32,1.02,15.46
13/08/11,Domain Stadium,Fremantle,Carlton,85,115,2.97,1.38
12/08/11,Etihad Stadium,St Kilda,Collingwood,70,89,5.89,1.12
07/08/11,Domain Stadium,West Coast,Richmond,147,90,1.08,7.56
07/08/11,Aurora Stadium,Hawthorn,North Melbourne,103,86,1.17,4.82
07/08/11,Gabba,Brisbane,Adelaide,105,110,1.68,2.13
06/08/11,Etihad Stadium,Essendon,Sydney,100,99,1.84,1.89
06/08/11,AAMI Stadium,Port Adelaide,Collingwood,21,159,13.17,1.03
06/08/11,MCG,Carlton,Melbourne,134,58,1.13,5.74
06/08/11,Simonds Stadium,Geelong,Gold Coast,188,38,1.01,17.03
05/08/11,Etihad Stadium,St Kilda,Fremantle,113,72,1.14,5.51
31/07/11,AAMI Stadium,Adelaide,Port Adelaide,111,79,1.61,2.29
31/07/11,MCG,Collingwood,Essendon,166,92,1.07,8.45
30/07/11,Metricon Stadium,Gold Coast,St Kilda,54,74,7.4,1.08
30/07/11,Domain Stadium,Fremantle,Hawthorn,44,95,2.49,1.54
30/07/11,Simonds Stadium,Geelong,Melbourne,233,47,1.07,8.33
30/07/11,Etihad Stadium,Western Bulldogs,West Coast,95,103,2.29,1.61
